,session_id,mall_id,lat,lng,activity,uniqueCount,totActiveDays,home_lat,home_long,mallidNearHome,work_lat,work_long,mallidNearWork,home_office_dist,one_home_dist,one_work_dist
305,148204984859344,89,41.070644,29.00189,Residence,1,13,41.06835631,29.00118446,89,41.0141983,29.03394508,0,6.63,0.26,6.84
323,148205309046720,66,39.911217,32.81263,Residence,2,13,39.9107541,32.75899809,66,39.95071507,32.85131836,0,9.05,4.58,5.5
414,148213402707068,82,41.05365,28.993231,Work,1,13,41.05398413,28.99782219,82,41.03819323,28.96734506,0,3.1,0.39,2.77
415,148213402707068,82,41.05365,28.993231,Residence,2,13,41.05398413,28.99782219,82,41.03819323,28.96734506,0,3.1,0.39,2.77
499,148230017062512,76,41.068562,29.005823,Work,7,13,41.11917573,29.00854554,0,41.06658568,29.00429581,76,5.87,5.64,0.25
532,148240483824303,61,39.895489,32.704288,Residence,6,13,39.89630399,32.70500324,61,39.89630399,32.70500324,61,0,0.11,0.11
533,148240483824303,61,39.895489,32.704288,Work,3,13,39.89630399,32.70500324,61,39.89630399,32.70500324,61,0,0.11,0.11
539,148244436591305,29,39.910645,32.776825,Residence,1,13,40.07667427,29.51125225,0,40.07861837,29.51324336,0,0.27,279.1,278.94
541,148247838124920,1047,40.816704,29.29525,Work,1,13,41.08797947,29.03900118,0,41.08797947,29.03900118,0,0,37.1,37.1
545,148250061662232,1023,41.058266,28.980352,Residence,3,13,47.10805671,51.90265056,0,40.59000304,31.80756875,0,1762.26,1944.12,243.78
553,148266010362612,34,40.977467,28.871523,Residence,2,13,40.97962758,28.86802524,34,40.97962758,28.86802524,34,0,0.38,0.38
554,148266010362612,34,40.977467,28.871523,Work,7,13,40.97962758,28.86802524,34,40.97962758,28.86802524,34,0,0.38,0.38
556,148268478198693,1049,41.077419,29.028307,Residence,4,13,41.07409096,29.02981783,25_1049,41.05696257,29.01234444,0,2.41,0.39,2.64
557,148268478198693,25,41.07671,29.027039,Residence,1,13,41.07409096,29.02981783,25_1049,41.05696257,29.01234444,0,2.41,0.37,2.52
564,148273907455854,26,41.109474,29.030212,Work,7,13,41.06514068,29.00934684,76,41.10739847,29.03188975,26,5.07,5.24,0.27
565,148273907455854,76,41.068562,29.005823,Residence,7,13,41.06514068,29.00934684,76,41.10739847,29.03188975,26,5.07,0.48,4.84
566,148273907455854,76,41.068562,29.005823,Work,1,13,41.06514068,29.00934684,76,41.10739847,29.03188975,26,5.07,0.48,4.84
581,148284948818520,21,41.078178,29.010618,Work,8,13,41.07781985,29.0048751,21,41.07781985,29.0048751,21,0,0.48,0.48
582,148284948818520,21,41.078178,29.010618,Residence,8,13,41.07781985,29.0048751,21,41.07781985,29.0048751,21,0,0.48,0.48
186,148198030104947,1121,41.064659,29.032145,Residence,10,12,41.06699772,29.02738744,1121_1122,41.03290612,28.97649796,1090,5.71,0.48,5.86
187,148198030104947,1090,41.030792,28.974257,Work,3,12,41.06699772,29.02738744,1121_1122,41.03290612,28.97649796,1090,5.71,6.01,0.3
192,148198235744003,73,40.964191,28.80168,Work,1,12,40.97527542,28.72548834,0,40.97527542,28.72548834,0,0,6.52,6.52
240,148200879701910,1052,41.040592,29.005133,Work,1,12,41.13754654,29.03858185,0,41.05094763,29.01175424,0,9.9,11.15,1.28
266,148202636468957,1011,40.987534,29.120331,Residence,9,12,40.99085198,29.11693708,1011,40.99085198,29.11693708,1011,0,0.47,0.47
267,148202636468957,1011,40.987534,29.120331,Work,1,12,40.99085198,29.11693708,1011,40.99085198,29.11693708,1011,0,0.47,0.47
268,148202636468957,36,40.9883,29.086309,Residence,1,12,40.99085198,29.11693708,1011,40.99085198,29.11693708,1011,0,2.59,2.59
292,148204832663490,86,40.995384,28.909842,Work,4,12,40.97988783,28.79779127,0,40.9945518,28.91060927,86,9.62,9.57,0.11
294,148204885462888,37,41.01128,28.81583,Work,1,12,41.05468067,28.78122967,0,41.05468067,28.78122967,0,0,5.64,5.64
295,148204885462888,74,41.053925,28.79114,Residence,2,12,41.05468067,28.78122967,0,41.05468067,28.78122967,0,0,0.84,0.84
296,148204885462888,74,41.053925,28.79114,Work,1,12,41.05468067,28.78122967,0,41.05468067,28.78122967,0,0,0.84,0.84
319,148205237801394,29,39.910645,32.776825,Residence,1,12,39.79940964,32.79986154,0,39.79940964,32.79986154,0,0,12.54,12.54
320,148205284199795,76,41.068562,29.005823,Work,1,12,40.94382025,29.15885205,0,41.06721664,29.00378521,76,18.93,18.92,0.23
384,148209678038388,1057,41.083012,29.034481,Residence,8,12,41.08565656,29.03237385,1057,41.00903466,28.89648409,0,14.24,0.34,14.21
406,148212781798528,1123,41.042507,29.001322,Work,1,12,41.08217411,28.92751205,0,41.0837846,28.92859749,0,0.2,7.61,7.64
410,148213008037383,55,39.882961,32.685566,Residence,4,12,39.8840281,32.68717209,55,39.96158944,32.57995049,0,12.58,0.18,12.57
411,148213008037383,55,39.882961,32.685566,Work,1,12,39.8840281,32.68717209,55,39.96158944,32.57995049,0,12.58,0.18,12.57
433,148215837612975,1090,41.030792,28.974257,Work,1,12,41.11917038,29.00851463,0,41.066607,29.00432536,76,5.86,10.25,4.72
434,148215837612975,76,41.068562,29.005823,Work,4,12,41.11917038,29.00851463,0,41.066607,29.00432536,76,5.86,5.64,0.25
549,148258705157663,90,41.085014,29.006083,Residence,8,12,41.08569954,29.00241059,90,41.08569954,29.00241059,90,0,0.32,0.32
550,148258705157663,90,41.085014,29.006083,Work,2,12,41.08569954,29.00241059,90,41.08569954,29.00241059,90,0,0.32,0.32
567,148274861815134,66,39.911217,32.81263,Residence,2,12,39.91092355,32.81770342,66,39.78887588,32.38131911,0,39.69,0.43,39.3
576,148283823521879,36,40.9883,29.086309,Residence,8,12,40.99267091,29.0857944,36,40.96814535,29.10262653,0,3.07,0.49,2.63
579,148284642150176,1069,41.059536,29.035246,Residence,12,12,41.05919091,29.02947959,1069,41.05919091,29.02947959,1069,0,0.49,0.49
580,148284642150176,1069,41.059536,29.035246,Work,1,12,41.05919091,29.02947959,1069,41.05919091,29.02947959,1069,0,0.49,0.49
589,148294411447015,62,39.900246,32.691257,Residence,7,12,39.89879799,32.6895008,62,39.96208332,32.68634393,0,7.05,0.22,6.9
88,148195199833955,23,39.848064,32.835148,Residence,5,11,39.84725065,32.8388875,23,39.89965677,32.93618196,0,10.16,0.33,10.37
126,148196290628754,30,41.062481,28.993097,Work,1,11,41.07409049,28.97211266,0,41.03110313,28.81822968,0,13.78,2.18,15.09
189,148198161387648,1047,40.816704,29.29525,Residence,3,11,40.81721519,29.2925046,1047,40.81721519,29.2925046,1047,0,0.24,0.24
190,148198161387648,1047,40.816704,29.29525,Work,5,11,40.81721519,29.2925046,1047,40.81721519,29.2925046,1047,0,0.24,0.24
297,148204898181319,85,41.009701,28.659527,Work,2,11,40.97586618,28.65647758,0,41.00673029,28.66000561,85,3.45,3.78,0.33
306,148204998387149,74,41.053925,28.79114,Work,1,11,41.05244563,28.78581379,74,41.02148635,28.8248901,0,4.76,0.48,4.59
307,148204998387149,74,41.053925,28.79114,Residence,2,11,41.05244563,28.78581379,74,41.02148635,28.8248901,0,4.76,0.48,4.59
391,148212048707544,30,41.062481,28.993097,Work,1,11,41.04505685,28.95280525,0,41.04505685,28.95280525,0,0,3.9,3.9
471,148223459269595,89,41.070644,29.00189,Residence,2,11,41.07065598,28.99966839,89,41.11027415,29.02393819,26,4.86,0.19,4.78
472,148223459269595,89,41.070644,29.00189,Work,2,11,41.07065598,28.99966839,89,41.11027415,29.02393819,26,4.86,0.19,4.78
485,148224436838836,1067,40.971657,29.060005,Residence,1,11,40.97313049,29.05559503,1067,40.97313049,29.05559503,1067,0,0.41,0.41
486,148224436838836,1067,40.971657,29.060005,Work,2,11,40.97313049,29.05559503,1067,40.97313049,29.05559503,1067,0,0.41,0.41
558,148268968779492,1061,39.912704,32.809017,Residence,1,11,39.91394043,32.80673981,1061,39.861485,32.71228623,0,9.96,0.24,10.04
