"","session_id","mall_id","activity"
"272",148202933997775,1082,"Residence"
"273",148203092120238,87,"Work"
"274",148203524443654,1096,"Work"
"275",148203951987524,38,"Work"
"276",148204121394068,81,"Residence"
"277",148204121394068,81,"Work"
"278",148204143121852,84,"Residence"
"279",148204143121852,84,"Work"
"280",148204179406998,1024,"Work"
"281",148204218683674,81,"Residence"
"282",148204230083945,26,"Work"
"283",148204230083945,76,"Residence"
"284",148204360922266,1064,"Work"
"285",148204618532984,72,"Work"
"286",148204713694922,21,"Residence"
"287",148204713694922,21,"Work"
"288",148204713694922,1030,"Residence"
"289",148204713694922,1030,"Work"
"290",148204771779558,76,"Work"
"291",148204821583613,34,"Work"
"292",148204832663490,86,"Work"
"293",148204862977002,26,"Work"
"294",148204885462888,37,"Work"
"295",148204885462888,74,"Residence"
"296",148204885462888,74,"Work"
"297",148204898181319,85,"Work"
"298",148204915340243,82,"Work"
"299",148204915340243,1082,"Residence"
"300",148204915340243,1082,"Work"
"301",148204946287945,77,"Residence"
"302",148204946287945,77,"Work"
"303",148204946287945,1067,"Residence"
"304",148204984859344,89,"Residence"
"305",148204984859344,89,"Work"
"306",148204998387149,74,"Residence"
"307",148204998387149,74,"Work"
"308",148205016705488,1078,"Residence"
"309",148205062370314,1096,"Residence"
"310",148205135589811,1067,"Work"
"311",148205135589811,1096,"Residence"
"312",148205135720020,26,"Work"
"313",148205135720020,30,"Residence"
"314",148205165497606,1059,"Residence"
"315",148205178659251,90,"Work"
"316",148205178659251,1030,"Residence"
"317",148205235435374,72,"Residence"
"318",148205235435374,1090,"Residence"
"319",148205237801394,29,"Residence"
"320",148205284199795,76,"Work"
"321",148205305919618,26,"Work"
"322",148205305919618,1012,"Residence"
"323",148205309046720,66,"Residence"
"324",148205338122974,82,"Work"
"325",148205368211695,1082,"Work"
"326",148205394689846,86,"Work"
"327",148205443609478,79,"Residence"
"328",148205447127065,1032,"Work"
"329",148205497806394,26,"Work"
"330",148205500319702,82,"Residence"
"331",148205500319702,82,"Work"
